D, bits in q (base field size), bits in r
283, 92, 73
443, 103, 89
947, 114, 114
1003, 291, 247
3139, 121, 69
3987, 103, 89
8499, 105, 105
8523, 114, 114
9563, 201, 181
9883, 142, 119
11387, 146, 115
11499, 85, 82
18467, 179, 155
19587, 124, 124
23563, 124, 106
25187, 124, 90
28251, 121, 69
34243, 92, 73
48747, 82, 72
53147, 137, 127
60859, 97, 97
62003, 159, 158
78459, 140, 110
83507, 85, 70
93259, 124, 124
105171, 196, 185
125499, 112, 73
128227, 80, 73
139051, 133, 130
140963, 437, 420
147883, 138, 125
173203, 145, 141
176283, 124, 124
178163, 97, 76
191963, 122, 121
205483, 252, 240
210747, 134, 131
238859, 407, 383
249563, 252, 234
257883, 82, 72
277699, 175, 167
278027, 190, 181
285707, 311, 289
290491, 114, 100
311387, 522, 514
313123, 463, 455
313851, 203, 200
351691, 88, 76
351707, 92, 58
366059, 155, 136
369947, 98, 74
374691, 97, 87
417227, 94, 72
462403, 117, 117
476971, 347, 332
478259, 89, 67
481843, 359, 356
496659, 224, 224
519243, 248, 224
525379, 84, 73
536707, 113, 109
545331, 83, 65
557611, 124, 121
583067, 177, 150
594739, 677, 650
609331, 107, 95
621771, 202, 193
658779, 199, 194
682627, 81, 68
684811, 126, 126
706131, 140, 110
735243, 104, 90
762779, 115, 81
798331, 95, 84
813443, 146, 125
840347, 175, 161
846203, 216, 179
848051, 148, 134
849683, 126, 116
851827, 120, 95
873867, 486, 442
885067, 135, 116
893651, 97, 85
926531, 125, 109
946539, 196, 185
972483, 1357, 1357
1000659, 98, 94
1010083, 80, 64
1042779, 89, 70
1045563, 121, 116
1047587, 119, 97
1060147, 203, 203
1084843, 190, 163
1130603, 88, 70
1190587, 162, 113
1202363, 153, 139
1219163, 92, 69
1229811, 133, 121
1256611, 85, 81
1317019, 106, 99
1333123, 136, 123
1353203, 82, 79
1363283, 83, 59
1374603, 123, 109
1410947, 165, 114
1430907, 135, 135
1433587, 96, 83
1455123, 87, 82
1457731, 91, 64
1475251, 313, 313
1479099, 102, 87
1518627, 144, 117
1535827, 375, 375
1540667, 92, 72
1541819, 90, 58
1573843, 111, 94
1575507, 202, 199
1586547, 124, 124
1587203, 26, 13
1592203, 26, 15
1599491, 62, 41
1600203, 187, 164
1601083, 28, 14
1601459, 26, 11
1602707, 108, 83
1603467, 97, 76
1611011, 37, 21
1619067, 91, 39
1621531, 44, 24
1625523, 56, 44
1633643, 54, 47
1635003, 31, 8
1641323, 20, 15
1644283, 20, 13
1644947, 60, 48
1647787, 36, 21
1650891, 33, 15
1657371, 28, 22
1659963, 46, 33
1662707, 43, 41
1665787, 37, 22
1680899, 49, 47
1682347, 123, 111
1686003, 20, 15
1689003, 20, 11
1692819, 32, 28
1695003, 296, 296
1700219, 30, 9
1713723, 44, 35
1716683, 83, 65
1731283, 20, 11
1732403, 41, 27
1734323, 20, 15
1738083, 40, 40
1743627, 123, 113
1743787, 32, 15
1747891, 45, 27
1749563, 20, 14
1752619, 20, 11
1765467, 61, 28
1771283, 91, 78
1771547, 33, 21
1778187, 23, 23
1781379, 36, 24
1786283, 79, 71
1788347, 31, 17
1803523, 47, 47
1807467, 163, 163
1814923, 106, 58
1816707, 40, 34
1823643, 20, 11
1825923, 30, 19
1826763, 20, 9
1835683, 193, 180
1836603, 41, 14
1841787, 44, 24
1842403, 20, 16
1845539, 20, 10
1848267, 35, 15
1851307, 53, 42
1851883, 65, 41
1852507, 41, 39
1857803, 36, 17
1858747, 54, 30
1862667, 54, 51
1868947, 38, 35
1869859, 27, 19
1871459, 35, 27
1883187, 73, 56
1887923, 44, 31
1910483, 97, 75
1916147, 40, 28
1930147, 23, 12
1932659, 33, 31
1939979, 27, 12
1947219, 45, 39
1957003, 87, 64
1959627, 41, 26
1960683, 177, 148
1964491, 46, 46
1965979, 48, 40
1972339, 167, 152
1974603, 509, 509
1978307, 36, 29
1980347, 68, 46
1988627, 103, 89
1993651, 52, 52
1995939, 20, 16
1999203, 20, 17
2006827, 23, 13
2017747, 23, 13
2020491, 76, 50
2021883, 38, 16
2030051, 28, 13
2045179, 20, 20
2048483, 20, 12
2049707, 39, 19
2052019, 70, 62
2057267, 68, 49
2062467, 43, 14
2077227, 23, 16
2084699, 60, 49
2109707, 74, 57
2139763, 28, 13
2149731, 407, 383
2159163, 57, 27
2163387, 33, 26
2163883, 44, 35
2168067, 23, 20
2172491, 62, 60
2208907, 35, 16
2212219, 473, 455
2217083, 20, 18
2220523, 20, 20
2223331, 36, 10
2237763, 20, 14
2241219, 20, 20
2242931, 65, 36
2248891, 47, 23
2257627, 559, 559
2259483, 27, 20
2260851, 23, 23
2269979, 81, 75
2270867, 37, 19
2287667, 39, 24
2290387, 98, 93
2295899, 158, 141
2305347, 42, 37
2315947, 87, 79
2361259, 31, 17
2369603, 43, 36
2370027, 124, 124
2374523, 20, 19
2378083, 20, 20
2387587, 23, 18
2390363, 26, 24
2392643, 129, 129
2403763, 184, 158
2405587, 32, 32
2413531, 47, 31
2417027, 33, 19
2424067, 389, 367
2427219, 27, 14
2439163, 106, 77
2440211, 23, 19
2445067, 55, 24
2452659, 53, 32
2456163, 58, 43
2458387, 45, 29
2460699, 20, 17
2461107, 97, 94
2462163, 96, 96
2464323, 20, 16
2475659, 34, 26
2475787, 265, 250
2482483, 20, 15
2483899, 32, 19
2484907, 23, 23
2486123, 20, 19
2486131, 87, 87
2487739, 27, 27
2492051, 34, 20
2497403, 188, 182
2507019, 27, 14
2508131, 61, 57
2517451, 34, 28
2517843, 29, 26
2521683, 31, 21
2537363, 20, 8
2538587, 23, 20
2541043, 20, 20
2547211, 52, 32
2550867, 23, 19
2571363, 311, 289
2575227, 110, 110
2592651, 90, 73
2592843, 20, 13
2596563, 20, 13
2614419, 114, 100
2626419, 20, 7
2630163, 20, 11
2641123, 35, 22
2643699, 32, 23
2674283, 31, 21
2682859, 20, 17
2686643, 20, 19
2703283, 32, 22
2705603, 20, 13
